name,lat,lon,説明,住所
030-6 原宿町会内三角地花壇歩道側,35.6470061111111,139.290890833333,ポスター掲示場,東浅川町２９６－２
030-7 都立陵南公園北側,35.6488280555556,139.292416388889,ポスター掲示場,東浅川町３１
031-1 旧浅川支所東側フェンス,35.6427380555556,139.275021388889,ポスター掲示場,高尾町１７３５
031-2 高尾駅北口臨時駐輪場フェンス,35.6423280555556,139.280186111111,ポスター掲示場,高尾町１５７６－４
031-3 西浅川児童遊園,35.6397980555556,139.272083888889,ポスター掲示場,西浅川町２６－１
031-4 浅川事務所西側フェンス,35.6430961111111,139.276783888889,ポスター掲示場,高尾町１６５２－１
031-5 御嶽神社横,35.643615,139.280026388889,ポスター掲示場,廿里町３３－３
031-6 廿里町公会堂向かい,35.6455016666667,139.282296388889,ポスター掲示場,廿里町１１－１
032-1 消防団第１１分団第１１部器具置場東側畑,35.6287747222222,139.268858333333,ポスター掲示場,高尾町２３５８先
032-2 高尾山口駅北交差点,35.6342633333333,139.270633333333,ポスター掲示場,高尾町１７９８先
032-3 東京都水道局南浅川配水所,35.6197694444444,139.262303333333,ポスター掲示場,南浅川町３０７７－３先
032-4 高尾山口駅横公園脇遊歩道フェンス（トイレ手前）,35.6317794444444,139.269664722222,ポスター掲示場,高尾町２２４１先
033-1 裏高尾増圧ポンプ所付近,35.6395647222222,139.247780833333,ポスター掲示場,裏高尾町１２１４
033-2 高尾梅の郷まちの広場,35.6387213888889,139.255920277778,ポスター掲示場,裏高尾町９１５外
033-3 駒木野病院北側万年塀,35.6409619444444,139.268713888889,ポスター掲示場,裏高尾町２７３
034-1 高尾駅南口バス停中央植込,35.6418030555556,139.283795277778,ポスター掲示場,初沢町１２３１
034-2 浅川小学校東側フェンス,35.6402930555556,139.282635555556,ポスター掲示場,初沢町１３３５
034-3 初沢橋横,35.6404980555556,139.28051,ポスター掲示場,初沢町１３５６先
034-4 紅葉台中公園西側,35.6325208333333,139.279380833333,ポスター掲示場,狭間町１９９４－１５６
034-5 狭間公園南側,35.6404827777778,139.290575,ポスター掲示場,狭間町１４９１－１
034-6 八王子狭間住宅南側児童公園フェンス,35.6376166666667,139.288261666667,ポスター掲示場,狭間町１４６４－１
034-7 猿額公園,35.6350738888889,139.285317777778,ポスター掲示場,狭間町１８００－５０
034-8 三和団地自治会案内図付近,35.6386144444444,139.275756666667,ポスター掲示場,初沢町１４２９－３０８先
035-1 東浅川小学校南側フェンス,35.6417875,139.286910555556,ポスター掲示場,東浅川町５５０－２２
035-2 東浅川公園西側フェンス,35.6465936111111,139.29507,ポスター掲示場,東浅川町５５９
035-3 東浅川公園東側フェンス,35.6473911111111,139.296234166667,ポスター掲示場,東浅川町５５９
035-4 東浅川小学校西側フェンス,35.6423155555556,139.286209166667,ポスター掲示場,東浅川町５５０－２２
035-5 陵南中学校南側フェンス,35.6447891666667,139.294456388889,ポスター掲示場,東浅川町５５３－９
035-6 （有）協和製作所付近,35.6442688888889,139.299212222222,ポスター掲示場,東浅川町６１８－２
035-7 狭間公園西側,35.6408461111111,139.289665277778,ポスター掲示場,狭間町１４９１－１
035-8 陵南中学校西側フェンス,35.6457044444444,139.292405,ポスター掲示場,東浅川町５５３－９
040-1 越野下根公園敷地内,35.6290694444444,139.390481944444,ポスター掲示場,越野１３
040-2 越野吹上公園,35.6292055555556,139.386430833333,ポスター掲示場,越野４
040-3 由木中央市民センター前道路沿い,35.6270597222222,139.382354722222,ポスター掲示場,下柚木２－１０－６
040-4 旧由木事務所跡地野猿街道沿いフェンス,35.6282741666667,139.382775,ポスター掲示場,下柚木４９８
040-5 バス停「殿ヶ谷戸」前畑,35.6299122222222,139.377644166667,ポスター掲示場,下柚木２６０－１
040-6 NTT由木電話交換局フェンス,35.6287822222222,139.38781,ポスター掲示場,越野９
040-7 下柚木小学校北側土手,35.6222633333333,139.379614166667,ポスター掲示場,下柚木３－９
040-8 大片瀬公園敷地内,35.6248747222222,139.380261388889,ポスター掲示場,下柚木２－２０
040-9 越野北八幡公園南側敷地内,35.6303983333333,139.393310833333,ポスター掲示場,越野３７
041-1 由木西小学校西側フェンス,35.6232127777778,139.3608825,ポスター掲示場,上柚木５３８－１
041-2 （有）松原工業ストックヤード東側空地,35.6245869444444,139.369704444444,ポスター掲示場,上柚木１４７５－１
041-3 中山会館前,35.6276761111111,139.363013888889,ポスター掲示場,中山４５７
041-4 バス停「上柚木」前フェンス,35.6221338888889,139.370824166667,ポスター掲示場,上柚木１１７８先
041-5 上柚木駐在所南側道路フェンス,35.6209008333333,139.3654625,ポスター掲示場,上柚木３１２－２先
041-6 日影橋北西側,35.6198727777778,139.365080833333,ポスター掲示場,上柚木３２５－８先
041-7 中山小学校南側フェンス,35.6251119444444,139.357836388889,ポスター掲示場,中山１１５５
042-1 海公園西側,35.6334063888889,139.373541111111,ポスター掲示場,南陽台１－１１
042-2 都立長沼公園平山口階段下,35.6365077777778,139.374166944444,ポスター掲示場,南陽台３－４－３先
042-3 北楽公園敷地内西寄り,35.6355727777778,139.374952777778,ポスター掲示場,南陽台３－６
042-4 竹の子公園敷地内,35.6319183333333,139.377281666667,ポスター掲示場,南陽台２－９－１４
042-5 バス停「南陽台中央」北側空地,35.6343422222222,139.377121388889,ポスター掲示場,南陽台３－１３－１７先
050-1 信号「八王子堀之内東」東側梅林フェンス,35.6311780555556,139.404070555556,ポスター掲示場,堀之内２－２３－５先
050-2 堀之内洗馬川公園東側道路沿い,35.6308986111111,139.406202222222,ポスター掲示場,堀之内２－２５－１
050-3 堀之内引切公園北側フェンス,35.6299444444444,139.403268055556,ポスター掲示場,堀之内２－１８－１
050-4 松原公園南側フェンス,35.6417888888889,139.411731111111,ポスター掲示場,東中野２１２－１
050-5 （株）加藤ガス東側空地,35.6356813888889,139.411553611111,ポスター掲示場,東中野７６－１先
050-6 東中野かじざか公園入口左側植込,35.6432741666667,139.411803611111,ポスター掲示場,東中野２９３－５
050-7 由木東小学校北側フェンス,35.6337697222222,139.40794,ポスター掲示場,東中野１３４７先
050-8 由木東小学校東側フェンス,35.6329666666667,139.408860555556,ポスター掲示場,東中野１３４７先
050-9 天野谷戸公園北側道路沿い,35.6395136111111,139.412772222222,ポスター掲示場,東中野２４４－７
051-1 バス停「大塚公園」前道路沿い,35.6327625,139.417331388889,ポスター掲示場,松が谷６６先
051-2 大塚西公園西側,35.6278236111111,139.417405277778,ポスター掲示場,松が谷１０５
051-3 望地公園南側,35.6321772222222,139.420333888889,ポスター掲示場,松が谷１４０
051-4 バス停「松が谷小学校」前道路沿い,35.6293736111111,139.413430833333,ポスター掲示場,松が谷５０先
051-5 バス停「松が谷」前道路沿い,35.6273763888889,139.414424722222,ポスター掲示場,松が谷１２先
051-6 大塚橋西側フェンス,35.6337577777778,139.420304166667,ポスター掲示場,松が谷１４０－１４０
051-7 乳母ケ谷公園西側道路沿い,35.6285813888889,139.411511388889,ポスター掲示場,松が谷１６８
052-1 都営鹿島１６番地団地南側道路沿い,35.6348288888889,139.426685555556,ポスター掲示場,鹿島１９先
052-2 鹿島小学校南側校門横フェンス（プール側）,35.6331616666667,139.425935,ポスター掲示場,鹿島１３先
052-3 バス停「鹿島」前道路沿い,35.6340544444444,139.424178333333,ポスター掲示場,鹿島１１７先
052-4 梶川緑地西側道路沿い,35.6345316666667,139.420312222222,ポスター掲示場,鹿島１１２
052-5 大塚東公園西側バス停「山根入」,35.6308186111111,139.4229675,ポスター掲示場,鹿島１０４－１
052-6 大塚なかおね公園西側フェンス,35.6434097222222,139.413485555556,ポスター掲示場,大塚２７２－３
052-7 由木ケ丘公園北側フェンス左寄り,35.6390661111111,139.414406388889,ポスター掲示場,大塚５８－７０
052-8 大塚宮田公園西側道路沿い,35.6363061111111,139.4194275,ポスター掲示場,大塚６７０－８先
060-1 秋葉台小学校西側,35.6244936111111,139.404829722222,ポスター掲示場,別所２－５
060-2 VIA長池立体駐車場南側,35.6239091666667,139.401901666667,ポスター掲示場,別所２－１
060-3 別所中学校入口脇,35.6198180555556,139.40024,ポスター掲示場,別所２－２８
060-4 別所公園東側入口脇,35.6177594444444,139.399492777778,ポスター掲示場,別所２－３３－２
060-5 別所小学校西側,35.61345,139.394967777778,ポスター掲示場,別所２－４４
060-6 別所小学校北側,35.6149727777778,139.395616944444,ポスター掲示場,別所２－４４
060-7 別所公園南,35.6153497222222,139.399624722222,ポスター掲示場,別所２－３３－２
060-8 別所ふれあい公園東側,35.6231222222222,139.398779166667,ポスター掲示場,別所１－８
061-1 松木中学校南側フェンス,35.6177144444444,139.392144166667,ポスター掲示場,別所１－３４－１
061-2 大石やかた公園,35.6276786111111,139.387680833333,ポスター掲示場,松木１
061-3 松木えのき公園,35.6211852777778,139.388997222222,ポスター掲示場,松木２２
061-4 松木小学校正門脇,35.6224263888889,139.394497222222,ポスター掲示場,松木５７－３
061-5 松木峰ヶ谷戸公園,35.62428,139.396256944444,ポスター掲示場,松木３６
061-6 蓮生寺公園北西側,35.6205627777778,139.394377222222,ポスター掲示場,別所１－３１先
061-7 多摩ニュータウン蓮生寺団地集会所東側,35.6213547222222,139.396764444444,ポスター掲示場,別所１－２９
061-8 富士見台公園第２駐車場東,35.6247152777778,139.386316666667,ポスター掲示場,松木８０先
062-1 南大沢中郷公園入口西側,35.6127180555556,139.380095,ポスター掲示場,南大沢２－２７先
062-2 柏木小学校西側フェンス,35.6097408333333,139.382375,ポスター掲示場,南大沢３－３
062-3 バス停「南大沢団地」前,35.6056041666667,139.381156111111,ポスター掲示場,南大沢３－１３先
062-4 トミンハイム南大沢東北側,35.6041405555556,139.382973888889,ポスター掲示場,南大沢３－１６－２
062-5 東光寺橋フェンス南端,35.6130077777778,139.3779075,ポスター掲示場,南大沢２－２８先
062-6 南大沢駅北口歩行者通路上フェンス,35.6147636111111,139.379184166667,ポスター掲示場,南大沢１－３８０
062-7 南大沢長谷戸公園前,35.6063475,139.385425555556,ポスター掲示場,南大沢２－２２１
062-8 南大沢日向公園東側,35.6177577777778,139.383951944444,ポスター掲示場,南大沢１－１９
063-1 バス停「だいり橋」向い側土手,35.6159166666667,139.375743611111,ポスター掲示場,南大沢１－１
063-2 宮上中学校東側入口道路沿い,35.6131975,139.374510833333,ポスター掲示場,南大沢５－５
063-3 公団南大沢学園２番街西南角,35.6154508333333,139.3730625,ポスター掲示場,上柚木３－５－９
063-4 バス停「三徳プラザ前」前道路先,35.6131461111111,139.369663055556,ポスター掲示場,上柚木３－１３先
063-5 宮上小学校正門西側,35.61098,139.370912222222,ポスター掲示場,南大沢５－１０
063-6 上柚木小学校西側土手,35.6154455555556,139.36795,ポスター掲示場,上柚木３－１５
063-7 上柚木公園健康広場南側,35.6191163888889,139.371735833333,ポスター掲示場,上柚木２－４０－１
063-8 上柚木公園内野球場前児童遊園植込,35.6175297222222,139.366771944444,ポスター掲示場,上柚木２－４０－１
064-1 板木会館東側,35.6135619444444,139.35863,ポスター掲示場,鑓水２－１１６
